,beta1,beta2,beta3,beta4,beta5
PackYearsC_rcs1,0.010886794,0.010921128,0.009924577,0.01030635,0.009976124
PackYearsC_rcs2,-0.055300815,-0.055662762,-0.051281351,-0.060313944,-0.061184938
SmokeFormer5PlusC_cat,0.022242188,0.022798022,0.030921492,0.024600383,0.03431705
SmokeFormer0to5C_cat,0.236939731,0.236654333,0.238163037,0.20527848,0.187915264
SmokeCurrentC_cat,0.192245179,0.193291575,0.190503744,0.115891196,0.112233143
DrinksLastWeekC_rcs1,-0.063411041,-0.063102425,-0.055499887,-0.044007104,-0.033349755
DrinksLastWeekC_rcs2,0.070538216,0.070206298,0.062105862,0.048145391,0.036414818
FormerDrinkerC_cat,0.256233435,0.256670922,0.249440201,0.192414438,0.153388938
FruitVegC_rcs1,-0.099322577,-0.099206219,-0.090058596,-0.083584011,-0.079051142
FruitVegC_rcs2,0.073797694,0.073290931,0.068480912,0.062342949,0.05812778
PotatoC_rcs1,0.101290036,0.107107501,0.120902466,0.107377552,0.111637072
PotatoC_rcs2,0.15550782,0.150245554,0.127197967,0.114030344,0.092164499
JuiceC_rcs1,0.188032129,0.188701359,0.182816561,0.214779216,0.218016337
JuiceC_rcs2,-0.038317832,-0.039004202,-0.039129049,-0.064666128,-0.07825286
PhysicalActivityC_rcs1,-0.162069943,-0.162034564,-0.157725089,-0.156205735,-0.081739673
PhysicalActivityC_rcs2,0.185970912,0.185897955,0.181853337,0.18306152,0.107841258