Variable,beta1,beta2,beta3,beta4,beta5
PackYears_C_rcs1,0.010886641,0.010920977,0.009924444,0.010306406,0.009976234
PackYears_C_rcs2,-0.055301596,-0.055663545,-0.051281862,-0.060314595,-0.061185896
smokeSimp_cat4_2_C,0.022245846,0.022801729,0.030924505,0.024602944,0.034319572
smokeSimp_cat4_3_C,0.236937105,0.23665156,0.238160173,0.205288373,0.187921144
smokeSimp_cat4_4_C,0.192242888,0.1932893,0.190501212,0.115901782,0.112240814
DrinksLastWeek_C_rcs1,-0.063411161,-0.063102546,-0.055500081,-0.044007831,-0.033350255
DrinksLastWeek_C_rcs2,0.070537601,0.070205681,0.0621053,0.048145819,0.036414942
formerDrinker_cat2_1_C,0.256235705,0.256673228,0.249442426,0.192415485,0.153390387
FruitVeg_C_rcs1,-0.099324292,-0.099207937,-0.090060267,-0.083585088,-0.079052458
FruitVeg_C_rcs2,0.073797965,0.073291208,0.068481253,0.06234344,0.058128591
Potato_C_rcs1,0.101305691,0.10712321,0.12091773,0.107386371,0.111653276
Potato_C_rcs2,0.155497795,0.150235517,0.127188075,0.114028334,0.09215775
Juice_C_rcs1,0.188038597,0.188707928,0.18282316,0.214780662,0.218019317
Juice_C_rcs2,-0.038318941,-0.039005385,-0.039130437,-0.064664924,-0.078250919
PhysicalActivity_C_rcs1,-0.162072839,-0.162037438,-0.157727545,-0.156206499,-0.081738905
PhysicalActivity_C_rcs2,0.185962411,0.185889583,0.181845091,0.183062125,0.107841096
AgeCXPackYearsC_int,-0.000119695,-0.000117086,-0.000109008,-4.88483E-05,-4.87913E-05
AgeCXSmokeFormer5PlusC_int,0.002284553,0.002304388,0.002373893,0.002712742,0.002724959
AgeCXSmokeFormer0to5C_int,-0.005726552,-0.005804053,-0.005569081,-0.004906092,-0.004921528
AgeCXSmokeCurrentC_int,-0.00917627,-0.009256138,-0.008824216,-0.008923436,-0.008017681
AgeCXDrinksLastWeekC_int,0.000263633,0.000264681,0.000303804,-0.000136682,-0.000197574
AgeCXFormerDrinkerC_int,-0.007637669,-0.007659175,-0.007669794,-0.004643033,-0.00353838
AgeCXFruitVegC_int,0.001421574,0.001425871,0.001384146,0.001130961,0.001243576
AgeCXJuiceC_int,-0.00532249,-0.005303289,-0.005125472,-0.005337104,-0.004998544
AgeCXPotatoC_int,-0.003735646,-0.00381856,-0.004236991,-0.004257227,-0.00353436
AgeCXPhysicalActivityC_int,-0.000571816,-0.000557154,-0.000612959,-0.00157095,-0.002163719