BinNumber,MinXscore,MaxXscore
61,- infinity,-1.65
60,-1.65,-1.53
59,-1.53,-1.49
58,-1.49,-1.45
57,-1.45,-1.39
56,-1.39,-1.35
55,-1.35,-1.31
54,-1.31,-1.28
53,-1.28,-1.25
52,-1.25,-1.22
51,-1.22,-1.19
50,-1.19,-1.14
49,-1.14,-1.09
48,-1.09,-1.05
47,-1.05,-1.01
46,-1.01,-.97
45,-.97,-.92
44,-.92,-.87
43,-.87,-.82
42,-.82,-.78
41,-.78,-.74
40,-.74,-.69
39,-.69,-.65
38,-.65,-.61
37,-.61,-.56
36,-.56,-.52
35,-.52,-.48
34,-.48,-.43
33,-.43,-.39
32,-.39,-.34
31,-.34,-.29
30,-.29,-.24
29,-.24,-.18
28,-.18,-.12
27,-.12,-.06
26,-.06,.01
25,.01,.09
24,.09,.18
23,.18,.28
22,.28,.42
21,.42,.55
20,.55,.74
19,.74,1.00
18,1.00,1.35
17,1.35,1.71
16,1.71,1.88
15,1.88,2.03
14,2.03,2.18
13,2.18,2.32
12,2.32,2.46
11,2.46,2.61
10,2.61,2.78
9,2.78,2.87
8,2.87,2.96
7,2.96,3.08
6,3.08,3.21
5,3.21,3.28
4,3.28,3.36
3,3.36,3.46
2,3.46,3.61
1,3.61,infinity