Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,5,7,7,9,10,9,12,13,14,15,12,14,17,19,18,22,22,24,20,30,22,31,27,30,33,33,44,43,48,39,38,50,46,44,58,71,67,98
98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,6,7,8,8,12,12,14,17,17,22,25,24,25,22,24,29,32,28,34,34,37,32,45,39,49,49,55,59,55,69,81,68,62,76,85,80,78,90,146,112,139
97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,6,8,10,11,13,17,19,21,24,26,29,33,32,35,31,35,40,44,40,48,49,48,49,68,59,68,73,80,86,80,97,114,88,92,115,113,114,114,124,196,167,198
96,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,8,10,13,15,15,21,24,26,30,33,38,40,40,43,41,47,52,54,52,62,64,65,61,83,78,83,91,100,114,103,118,134,110,118,151,144,152,142,155,226,208,277
95,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,5,7,10,13,16,18,19,25,30,31,37,41,44,47,46,52,52,59,65,66,65,76,76,77,77,97,93,99,109,115,138,121,144,163,136,145,188,179,176,183,210,255,237,319
94,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,6,8,11,15,19,21,22,29,36,38,43,48,52,54,55,61,63,70,77,78,80,89,89,97,95,113,113,117,124,134,166,147,166,189,159,179,225,223,196,217,242,300,292,398
93,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,3,5,7,9,13,18,22,25,26,33,41,44,48,55,59,61,62,73,75,81,88,89,92,100,99,111,112,131,131,135,144,147,184,170,196,217,189,222,255,257,251,269,277,345,334,435
92,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,6,8,11,15,21,26,29,30,38,46,50,55,61,66,71,70,81,85,94,101,102,105,116,111,128,129,151,147,159,164,168,210,196,221,251,216,255,279,286,276,316,334,385,364,516
91,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,5,6,9,12,16,23,29,33,34,45,52,57,61,69,76,80,79,93,96,107,112,114,117,130,126,143,149,170,163,178,184,197,231,222,252,280,247,279,316,308,302,349,386,420,403,562
90,1,1,1,1,1,1,1,1,1,1,3,3,3,4,5,5,7,10,14,18,25,32,37,39,50,58,64,68,78,84,88,87,102,107,119,122,129,130,146,142,163,167,188,179,199,206,221,265,245,275,305,278,301,348,340,343,386,422,448,438,618
89,1,1,1,1,1,1,1,1,2,2,3,3,3,5,5,6,8,11,15,20,29,35,41,43,54,65,71,75,87,95,97,99,112,120,134,135,142,141,163,155,181,187,210,199,218,229,244,287,274,306,332,301,340,374,371,385,413,460,490,469,650
88,1,1,1,1,1,1,1,2,2,2,3,3,3,5,6,6,9,12,16,22,31,39,45,47,58,72,78,82,95,105,108,108,122,130,149,152,158,154,179,172,201,207,229,217,242,252,269,311,295,334,369,335,371,410,394,418,449,490,537,507,722
87,1,1,1,1,1,1,1,2,2,2,3,3,4,5,6,7,9,13,18,24,34,43,48,53,64,79,86,90,104,115,119,118,134,145,163,163,172,178,198,186,220,227,248,235,265,272,292,340,321,362,392,363,391,440,429,463,493,516,578,588,758
86,1,1,1,1,1,1,2,2,2,2,4,4,4,6,7,8,10,15,20,26,36,47,53,57,69,85,94,97,114,129,129,128,146,160,175,177,187,196,215,199,241,250,274,255,290,295,314,360,344,391,422,403,414,474,465,502,515,561,619,650,806
85,1,1,1,1,1,1,2,2,2,3,4,4,4,6,7,9,10,16,22,27,39,52,57,62,75,93,104,106,124,141,138,141,160,176,191,191,200,210,234,216,261,273,298,274,310,320,342,380,370,417,459,435,444,500,506,532,545,644,669,694,857
84,1,1,1,1,1,1,2,2,3,3,4,4,5,7,8,9,11,17,24,30,42,56,63,69,81,100,113,114,136,152,147,153,172,187,207,206,216,230,251,242,282,294,316,298,338,340,365,398,391,452,484,460,474,524,541,562,586,686,703,721,935
83,1,1,1,2,1,1,2,3,3,3,4,5,5,7,8,10,12,18,26,32,45,59,67,75,89,107,124,125,145,165,157,170,182,202,221,222,233,245,266,259,301,310,343,326,358,362,394,429,425,471,527,499,504,555,562,590,628,723,742,754,988
82,1,1,1,2,1,2,2,3,3,3,5,5,5,7,9,10,13,19,27,34,48,65,71,81,96,116,134,135,153,177,170,181,193,216,234,235,247,261,282,272,325,329,367,346,374,383,422,450,452,501,545,539,522,583,587,631,673,772,775,804,1042
81,1,1,1,2,2,2,2,3,3,3,5,5,6,8,10,11,14,22,29,37,53,68,78,87,105,125,145,145,166,188,179,193,206,231,247,254,263,280,296,291,345,349,388,372,397,405,453,469,477,532,568,569,545,604,618,664,713,807,793,850,1096
80,1,1,2,2,2,2,3,3,3,4,5,6,6,8,10,11,14,23,31,41,55,73,84,92,114,134,160,156,176,204,192,207,221,248,261,270,282,298,316,312,364,370,409,395,416,423,477,497,501,557,609,600,573,618,637,699,738,830,823,889,1135
79,1,1,2,2,2,2,3,3,4,4,5,6,6,9,11,12,15,25,33,43,61,78,89,99,120,142,169,165,186,217,208,221,237,264,276,287,304,317,331,332,386,393,427,426,442,446,502,529,526,583,644,632,594,662,666,741,801,881,859,917,1186
78,1,1,2,2,2,2,3,4,4,4,6,6,7,9,11,12,16,27,35,47,65,83,95,106,132,151,181,176,202,230,222,238,250,276,292,309,320,334,349,351,404,421,444,447,464,479,530,555,549,613,679,668,615,686,693,770,846,918,874,992,1230
77,1,2,2,2,2,2,3,4,4,5,6,7,7,10,12,13,17,28,38,50,69,89,103,114,140,162,191,189,213,243,237,255,267,293,306,323,341,352,368,370,427,448,469,472,490,508,554,579,573,640,716,699,659,708,719,819,881,980,898,1038,1296
76,2,2,2,2,2,3,3,4,4,5,6,7,8,10,12,14,18,30,40,53,74,96,109,123,148,172,204,203,225,255,251,270,285,311,327,342,361,374,384,389,445,468,493,495,516,531,582,618,605,668,739,741,692,738,743,845,917,1067,933,1072,1327
75,2,2,2,3,2,3,3,4,5,5,6,8,8,11,13,14,19,31,43,57,78,103,116,132,156,186,217,216,238,269,263,286,301,324,340,358,379,390,406,416,471,493,509,518,537,555,604,639,631,703,768,787,728,772,785,898,978,1117,989,1088,1380
74,2,2,2,3,2,3,4,4,5,5,7,8,9,11,14,15,21,33,46,61,82,109,123,141,166,198,229,229,252,287,280,302,317,344,359,375,397,412,423,440,494,513,529,547,566,585,629,665,659,728,803,803,759,828,814,937,1024,1130,1036,1125,1408
73,2,2,2,3,3,3,4,5,5,6,7,8,9,12,15,16,22,35,48,64,87,115,130,150,177,210,239,243,264,301,297,322,334,356,378,392,416,432,443,467,513,536,553,570,593,604,656,694,694,757,840,832,779,863,840,975,1055,1170,1075,1149,1486
72,2,2,3,3,3,3,4,5,6,6,7,9,10,13,15,16,22,36,51,69,91,121,138,158,190,221,254,256,280,317,315,341,355,372,396,413,432,449,462,491,535,562,575,594,621,630,687,719,725,783,869,868,822,897,887,1005,1115,1209,1092,1187,1511
71,2,2,3,3,3,3,4,5,6,6,8,9,10,13,16,17,24,39,55,74,97,128,148,167,201,234,270,271,293,331,329,360,371,392,416,431,454,475,482,514,554,593,602,615,649,653,711,751,754,817,896,894,866,924,916,1040,1181,1262,1117,1231,1556
70,2,2,3,3,3,4,5,5,6,7,8,10,11,14,17,18,25,40,57,78,102,136,157,176,211,250,285,284,310,350,348,379,389,404,441,450,472,501,502,534,579,619,630,636,679,689,756,786,787,841,926,931,882,944,959,1078,1220,1280,1164,1271,1611
69,2,3,3,3,3,4,5,6,6,7,9,10,11,14,17,18,26,42,60,84,108,145,168,185,226,265,303,300,326,365,365,396,406,425,457,474,498,525,528,558,601,640,650,666,704,719,792,815,811,862,956,963,925,987,997,1114,1250,1313,1187,1319,1658
68,2,3,4,3,3,4,5,6,6,7,9,11,11,15,18,19,27,44,63,88,115,153,178,197,239,280,320,315,346,381,383,412,428,438,473,498,523,547,554,577,624,664,678,691,737,743,822,846,848,882,1018,981,950,1018,1033,1144,1301,1367,1215,1361,1691
67,3,3,4,4,4,4,5,6,7,8,9,11,12,16,19,20,28,46,66,93,121,161,188,207,254,289,337,333,363,400,405,434,448,458,495,517,547,571,576,594,653,689,702,719,769,777,855,876,875,925,1057,1023,997,1048,1083,1208,1335,1397,1241,1413,1765
66,3,3,4,4,4,5,5,6,7,8,10,12,12,16,19,21,29,48,70,99,129,170,198,221,266,308,355,347,383,416,421,450,468,482,519,540,566,598,596,624,678,710,720,750,801,800,887,915,910,953,1082,1070,1026,1079,1108,1233,1362,1448,1293,1454,1831
65,3,3,4,4,4,5,6,7,7,8,10,12,13,17,20,22,31,50,75,105,137,180,211,236,276,323,368,367,399,433,440,469,483,503,538,553,594,618,627,645,708,737,746,781,827,823,915,941,937,989,1121,1095,1066,1115,1156,1277,1403,1498,1362,1494,1871
64,3,3,4,4,4,5,6,7,8,9,11,12,13,18,20,23,32,52,79,111,144,191,222,248,288,339,390,379,418,451,461,489,504,526,565,578,619,642,645,662,725,767,775,802,866,851,953,979,963,1022,1155,1118,1092,1161,1206,1320,1429,1567,1408,1534,1955
63,3,3,4,5,5,5,6,7,8,9,11,13,14,19,21,23,33,55,84,117,150,201,232,263,302,353,408,397,434,474,482,506,523,543,588,600,645,671,664,700,743,791,799,826,894,877,984,1012,1000,1060,1175,1140,1150,1197,1254,1362,1474,1604,1466,1566,1998
62,4,3,4,5,5,6,6,7,8,9,12,13,14,19,22,25,34,57,88,124,156,210,245,272,323,367,426,414,451,497,500,529,542,564,618,620,668,697,681,727,764,815,822,851,916,903,1019,1036,1025,1092,1209,1165,1184,1224,1301,1395,1519,1649,1485,1612,2036
61,4,4,5,5,5,6,7,8,9,10,12,14,15,20,23,26,36,59,92,134,163,221,258,287,339,385,444,431,469,520,519,553,556,583,638,643,689,721,702,756,790,852,857,880,955,938,1043,1066,1062,1119,1238,1194,1222,1262,1339,1411,1560,1677,1531,1661,2088
60,4,4,5,5,5,6,7,8,9,10,13,15,15,21,24,27,37,61,98,142,169,233,268,304,355,404,460,453,484,540,538,571,579,610,664,666,710,746,729,779,816,877,876,911,988,980,1079,1098,1099,1156,1272,1233,1262,1303,1373,1446,1592,1705,1561,1716,2186
59,4,4,5,6,6,6,7,8,9,11,13,15,16,21,25,28,39,64,104,151,181,245,282,320,369,423,481,469,504,561,559,595,601,631,681,693,731,773,762,811,839,905,904,941,1028,1007,1107,1129,1137,1198,1314,1273,1300,1334,1398,1467,1622,1744,1573,1750,2228
58,5,4,5,6,6,7,8,9,10,11,14,16,17,22,25,29,41,67,109,161,189,258,294,332,385,442,508,489,520,581,585,618,618,660,702,723,756,791,787,838,863,937,923,973,1067,1043,1137,1160,1159,1234,1347,1303,1341,1381,1452,1497,1670,1761,1594,1794,2278
57,5,4,5,6,6,7,8,9,10,11,14,16,17,23,26,30,43,70,115,170,197,269,309,348,404,464,534,506,538,602,607,639,641,686,724,745,785,808,817,866,888,964,949,1001,1095,1080,1171,1201,1197,1265,1385,1342,1398,1439,1495,1520,1701,1829,1634,1843,2347
56,5,5,5,6,6,7,9,9,11,12,15,17,18,24,27,31,44,74,121,179,211,284,323,364,423,482,556,530,561,632,628,666,670,712,747,775,813,832,846,890,912,1000,973,1029,1128,1111,1204,1225,1230,1301,1414,1367,1410,1484,1526,1562,1768,1867,1668,1887,2419
55,5,5,6,6,6,7,9,10,11,13,15,18,19,25,29,32,46,77,128,185,224,297,344,385,439,497,578,554,585,655,652,687,700,743,773,803,837,855,867,912,945,1028,1008,1062,1155,1140,1246,1252,1263,1335,1442,1388,1448,1536,1555,1597,1822,1884,1726,1915,2477
54,5,5,6,7,7,8,9,10,11,13,16,18,19,27,29,34,47,81,134,197,237,312,361,398,453,521,602,575,613,679,671,714,727,768,798,829,862,880,902,943,970,1056,1048,1095,1181,1174,1288,1287,1309,1379,1472,1422,1496,1591,1589,1607,1855,1914,1761,1966,2533
53,5,5,6,7,7,8,9,11,12,14,16,19,20,27,30,35,49,85,141,208,247,327,378,416,476,548,623,599,633,705,696,734,754,786,826,861,888,907,933,978,996,1083,1084,1121,1216,1199,1313,1327,1342,1404,1517,1448,1515,1654,1657,1647,1914,1939,1815,2006,2582
52,6,5,6,8,7,8,10,11,12,14,17,19,21,28,32,36,52,90,150,222,262,341,399,440,499,575,646,621,652,725,716,769,781,813,847,891,920,939,967,1011,1027,1129,1115,1159,1245,1240,1338,1368,1388,1445,1562,1486,1563,1700,1720,1698,1936,1998,1844,2038,2615
51,6,6,6,8,8,9,10,11,13,15,17,20,22,29,33,38,54,92,160,234,275,355,417,461,518,593,670,648,677,743,737,793,808,847,871,914,947,968,988,1036,1056,1152,1149,1204,1263,1279,1372,1391,1442,1486,1614,1527,1606,1750,1762,1732,1958,2028,1952,2084,2739
50,6,6,7,8,8,9,11,12,13,16,18,21,22,31,34,39,56,97,167,248,292,373,435,479,538,616,692,672,700,762,763,812,834,876,897,948,971,994,1013,1058,1081,1194,1174,1235,1297,1317,1405,1453,1482,1523,1659,1560,1643,1805,1809,1805,2006,2061,2039,2138,2773
49,7,6,7,9,8,9,11,12,14,16,18,22,24,32,36,41,58,102,176,259,307,388,452,494,562,640,716,698,722,792,790,831,863,903,921,977,1001,1031,1043,1095,1109,1233,1202,1278,1330,1347,1448,1488,1504,1560,1677,1600,1698,1837,1859,1826,2047,2156,2075,2170,2797
48,7,6,7,9,9,10,11,12,14,17,19,23,24,33,37,42,61,106,185,273,326,403,473,516,581,661,740,719,747,818,820,868,891,927,952,1007,1020,1067,1080,1125,1142,1273,1230,1324,1362,1374,1477,1521,1538,1603,1707,1663,1735,1919,1906,1875,2120,2298,2114,2218,3152
47,7,7,7,9,9,10,12,13,14,17,20,23,25,34,38,43,63,112,193,286,341,422,495,535,602,685,763,750,768,847,848,895,928,961,985,1041,1054,1092,1120,1165,1179,1299,1268,1360,1393,1414,1513,1553,1573,1650,1743,1729,1766,1979,1952,1912,2146,2406,2138,2258,3152
46,7,7,8,10,10,10,12,13,15,18,21,24,26,36,40,44,65,118,204,299,357,439,510,554,622,713,788,774,795,871,875,931,966,993,1016,1076,1089,1132,1150,1201,1213,1340,1303,1402,1435,1448,1558,1584,1614,1699,1778,1766,1819,2028,1998,1937,2241,2454,2186,2302,3152
